DEPARTMENT,EVENT,DATE,TIME,VENUE,CATEGORY,REGISTRATION FEES,DRIVE LINKS FOR RULEBOOKS
STUDENT COUNCIL,ROBOWAR (15KG),29/30 -04-2026,11AM ONWARDS,ROBOWAR ARENA,,Rs. 1180/-,https://drive.google.com/file/d/1XPS_037_vhqvbRNxtHjZSAylT601gTvs/view?usp=drive_link
,ROBOWAR (8KGS),29/30 -04-2026,11AM ONWARDS,ROBOWAR ARENA,,Rs. 944/-,https://drive.google.com/file/d/1XPS_037_vhqvbRNxtHjZSAylT601gTvs/view?usp=drive_link
,ROBOWAR (3LBS),29/30 -04-2026,11AM ONWARDS,ROBOWAR ARENA,,Rs. 590/-,https://drive.google.com/file/d/1XPS_037_vhqvbRNxtHjZSAylT601gTvs/view?usp=drive_link
MECH,ROBO SUMO,30-04-2026,10AM ONWARDS,AITD FOYER ,Gold,Rs. 472/-,https://drive.google.com/file/d/1dJXMtRVHhAv0Rgci5cJ-lmoRr9A_SYm3/view?usp=drive_link
,ROBO TUG OF WAR,29/30 -04-2026,11AM ONWARDS,GYMKHANA,Silver,Rs. 354/-,https://drive.google.com/file/d/1aweeTCfdJ07CmuW0WNv11MbEYtY4AKei/view?usp=drive_link
,FIFA,30-04-2026,10AM ONWARDS,SY MBA,,Rs. 295/-,https://drive.google.com/file/d/11JRb87sZshPqcO3nYzPm3Y-DXxXpPlzV/view?usp=drive_link
,BRIDGE CONSTRUCTION,29-04-2026,11AM ONWARDS,DHM1,Bronze,Rs. 295/-,https://drive.google.com/file/d/1DHHXEtVJsPdLk1XP8wM30hCi0SmXYhnA/view?usp=drive_link
COMP,ROBO SOCCER,29-04-2026,11AM ONWARDS,AITD FOYER,Gold,Rs. 413/-,https://drive.google.com/file/d/12ti-eQ3F0D6y8c9wUu5_N4U51UZMQm3V/view?usp=drive_link
,CODING EVENT,29-04-2026,11AM ONWARDS,"LBC5 , LBC6",Silver,Rs. 118/-,https://drive.google.com/file/d/1yMHIsVTduOjoBDaCx4q6NLR4ndZiRVr4/view?usp=drive_link
,CLASH ROYALE,30-04-2026,10AM ONWARDS,LHC4,,Rs. 59/-,https://drive.google.com/file/d/1LIGLk4pOJPsvWeuRkp-Mkx4qCt2gH29b/view?usp=drive_link
,CAPTURE THE FLAG,30-04-2026,10AM ONWARDS,LBC4,Bronze,Rs. 118/-,https://drive.google.com/file/d/1uC95XNA0QrunE9-R0UeFDnUYBwQ_No3b/view?usp=drive_link
ECE,LINE FOLLOWER ROBOT,29-04-2026,11AM ONWARDS,"LHE 2,3",Gold,Rs. 295/-,https://drive.google.com/file/d/1W66mGxViAOhifhpYGckMq9sFF7L-qmJQ/view?usp=drive_link
,TREASURE HUNT,29-04-2026,10AM - 5PM,ECE TUTORIAL HALL,,Rs. 295/-,https://drive.google.com/file/d/10AUc8vzH4wolM3I6plRyrzYvOp_kSdjH/view?usp=drive_link
,INNOVATE,30-04-2026,10AM - 5PM,SEMINAR HALL,Silver,Rs. 236/-,https://drive.google.com/file/d/1rqLxKC8pR_8vWyL9HmVOHNG-26AvdJoG/view?usp=drivesdk
,VIRTUAL CRICKET,29/30 -04-2026,10AM - 5PM,LIBRARY,,Rs. 59/-,https://drive.google.com/file/d/1odzOBF6j_ENm5Hr30fyrTFCPFViSYtfg/view?usp=drive_link
,CIRCUIT SIMULATION,30-04-2026,10AM - 5PM,"LBE 2,3,4,5,6",Bronze,Rs. 236/-,https://drive.google.com/file/d/1rm7bou5h7WdZKjx1I2e8cwQl6fT3D83l/view?usp=drive_link
MBA,BUSINESS PITCH,29-04-2026,11AM ONWARDS,FY MBA,Bronze,Rs. 236/-,https://drive.google.com/file/d/1os_PVFEhQxYh91D7bczSxSXysCz6j-mY/view?usp=drive_link
ROBOCLUB,ROBO MAZE SOLVER,29-04-2026,11AM ONWARDS,LHC3 LHC2,Silver,Rs. 354/-,https://drive.google.com/file/d/1x0RhL2zKUPvrOcfGfN9dYqMjHADjIfHQ/view?usp=drive_link
,ROBO RACE,30-04-2026,10AM ONWARDS,BASKETBALL COURT,Gold,Rs. 354/-,https://drive.google.com/file/d/1hYVl98mLUTZ3QssM7LcQdxVDwXDVyD2Y/view?usp=drive_link
IIC,HACKATHON,29/30 -04-2026,2PM-2PM(24HRS),MULTIPURPOSE HALL,,Rs. 590/-,https://drive.google.com/file/d/1TVoT0c1R3zBNAZbxAPlAgAqh2SSUsLBO/view?usp=drive_link
BSH,SYMMETRY ART,29-04-2026,10AM ONWARDS,PHYSICS LAB,,Free,https://drive.google.com/file/d/1fx2x-0b5wWg_ap9-S3oJDQ6LAVBhTUpZ/view?usp=drive_link
,STRUCTOMAT,29-04-2026,10AM ONWARDS,DHM2,,Free,https://drive.google.com/file/d/1mRmUyG5ZYtC8nn92v3H8Vwep2Gx7gcN5/view?usp=drive_link
,,,,,,,
,,,,,,,
Tie breakers (if scores are same ),,,,,,,
options,,,,,,,
"1] Count of Wins / Positions

Compare performance across events:

Team with more 1st place finishes wins
If still tied ? check 2nd places, then 3rd, etc.",,,,,,,
2] the number of participation,,,,,,,
